"content","location","url","direction","image"
"اَلرَّئِيسُ الرَّئِيسُ هُوَ يَجْلِسُ فِيهِ لِيَأْكُلَ خُبْزًا أَمَامَ الرَّبِّ. مِنْ طَرِيقِ رِوَاقِ الْبَابِ يَدْخُلُ، وَمِنْ طَرِيقِهِ يَخْرُجُ».","حِزْقِيَال 44:3","https://www.bible.com/bible/13/EZK.44.3","rtl",".\Resources\image.jpg"
"اِطْرَحُوا عَنْكُمْ كُلَّ مَعَاصِيكُمُ الَّتِي عَصَيْتُمْ بِهَا، وَاعْمَلُوا لِأَنْفُسِكُمْ قَلْبًا جَدِيدًا وَرُوحًا جَدِيدَةً. فَلِمَاذَا تَمُوتُونَ يَا بَيْتَ إِسْرَائِيلَ؟","حِزْقِيَال 18:31","https://www.bible.com/bible/13/EZK.18.31","rtl",".\Resources\image.jpg"
"مِنْ أَجْلِ ذَلِكَ أَقْضِي عَلَيْكُمْ يَا بَيْتَ إِسْرَائِيلَ، كُلِّ وَاحِدٍ كَطُرُقِهِ، يَقُولُ السَّيِّدُ الرَّبُّ. تُوبُوا وَارْجِعُوا عَنْ كُلِّ مَعَاصِيكُمْ، وَلَا يَكُونُ لَكُمُ الْإِثْمُ مَهْلَكَةً.","حِزْقِيَال 18:30","https://www.bible.com/bible/13/EZK.18.30","rtl",".\Resources\image.jpg"
"اَلنَّفْسُ الَّتِي تُخْطِئُ هِيَ تَمُوتُ. اَلِابْنُ لَا يَحْمِلُ مِنْ إِثْمِ الْأَبِ، وَالْأَبُ لَا يَحْمِلُ مِنْ إِثْمِ الِابْنِ. بِرُّ الْبَارِّ عَلَيْهِ يَكُونُ، وَشَرُّ الشِّرِّيرِ عَلَيْهِ يَكُونُ.","حِزْقِيَال 18:20","https://www.bible.com/bible/13/EZK.18.20","rtl",".\Resources\image.jpg"
"وَأَعْطَى بِالرِّبَا وَأَخَذَ الْمُرَابَحَةَ، أَفَيَحْيَا؟ لَا يَحْيَا! قَدْ عَمِلَ كُلَّ هَذِهِ الرَّجَاسَاتِ فَمَوْتًا يَمُوتُ. دَمُهُ يَكُونُ عَلَى نَفْسِهِ.","حِزْقِيَال 18:13","https://www.bible.com/bible/13/EZK.18.13","rtl",".\Resources\image.jpg"
"وَخَرَجَ لَكِ اسْمٌ فِي الْأُمَمِ لِجَمَالِكِ، لِأَنَّهُ كَانَ كَامِلًا بِبَهَائِي الَّذِي جَعَلْتُهُ عَلَيْكِ، يَقُولُ السَّيِّدُ الرَّبُّ.","حِزْقِيَال 16:14","https://www.bible.com/bible/13/EZK.16.14","rtl",".\Resources\image.jpg"
"«وَلِمَاذَا تَدْعُونَنِي: يَا رَبُّ، يَا رَبُّ، وَأَنْتُمْ لَا تَفْعَلُونَ مَا أَقُولُهُ؟","لُوقَا 6:46","https://www.bible.com/bible/13/LUK.6.46","rtl",".\Resources\image.jpg"
"وَلَكِنْ إِنْ كُنْتُ أَنَا بِرُوحِ اللهِ أُخْرِجُ الشَّيَاطِينَ، فَقَدْ أَقْبَلَ عَلَيْكُمْ مَلَكُوتُ اللهِ!","مَتَّى 12:28","https://www.bible.com/bible/13/MAT.12.28","rtl",".\Resources\image.jpg"
"جَيِّدٌ أَنْ يَنْتَظِرَ الْإِنْسَانُ وَيَتَوَقَّعَ بِسُكُوتٍ خَلَاصَ الرَّبِّ.","مَرَاثِي إِرْمِيَا 3:26","https://www.bible.com/bible/13/LAM.3.26","rtl",".\Resources\image.jpg"
"صَرَخَ قَلْبُهُمْ إِلَى السَّيِّدِ. يَا سُورَ بِنْتِ صِهْيَوْنَ اسْكُبِي الدَّمْعَ كَنَهْرٍ نَهَارًا وَلَيْلًا. لَا تُعْطِي ذَاتَكِ رَاحَةً. لَا تَكُفَّ حَدَقَةُ عَيْنِكِ. قُومِي اهْتِفِي فِي اللَّيْلِ فِي أَوَّلِ الْهُزُعِ. اسْكُبِي كَمِيَاهٍ قَلْبَكِ قُبَالَةَ وَجْهِ السَّيِّدِ. ارْفَعِي إِلَيْهِ يَدَيْكِ لِأَجْلِ نَفْسِ أَطْفَالِكِ الْمَغْشِيِّ عَلَيْهِمْ مِنَ الْجُوعِ فِي رَأْسِ كُلِّ شَارِعٍ.","مَرَاثِي إِرْمِيَا 2:18-19","https://www.bible.com/bible/13/LAM.2.18-19","rtl",".\Resources\image.jpg"
"صَارَ مُضَايِقُوهَا رَأْسًا. نَجَحَ أَعْدَاؤُهَا لِأَنَّ الرَّبَّ قَدْ أَذَلَّهَا لِأَجْلِ كَثْرَةِ ذُنُوبِهَا. ذَهَبَ أَوْلَادُهَا إِلَى السَّبْيِ قُدَّامَ الْعَدُوِّ.","مَرَاثِي إِرْمِيَا 1:5","https://www.bible.com/bible/13/LAM.1.5","rtl",".\Resources\image.jpg"
"«هَكَذَا قَالَ رَبُّ الْجُنُودِ: إِنَّ بَنِي إِسْرَائِيلَ وَبَنِي يَهُوذَا مَعًا مَظْلُومُونَ، وَكُلُّ الَّذِينَ سَبَوْهُمْ أَمْسَكُوهُمْ. أَبَوْا أَنْ يُطْلِقُوهُمْ. وَلِيُّهُمْ قَوِيٌّ. رَبُّ الْجُنُودِ اسْمُهُ. يُقِيمُ دَعْوَاهُمْ لِكَيْ يُرِيحَ الْأَرْضَ وَيُزْعِجَ سُكَّانَ بَابِلَ.","إِرْمِيَا 50:33-34","https://www.bible.com/bible/13/JER.50.33-34","rtl",".\Resources\image.jpg"
